date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Oct 14 2019 08:51:39 GMT-0700 (北美太平洋夏令时间), Principal Technical Program Manager,"Seattle, WA",Current Employee ,Took my career to the next level,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,4.0,4.0
Sun Jan 10 2016 17:33:15 GMT-0800 (北美太平洋标准时间),,"Seattle, WA",Current Employee ,You Get What You Put In,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,5.0,5.0
Sat Feb 20 2016 18:05:10 GMT-0800 (北美太平洋标准时间), Senior Engineering Manager,"Seattle, WA",Current Employee ,"Exciting Work, Abusive Culture",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,3.0,3.0,3.0,4.0,4.0
Fri Feb 23 2018 13:41:40 GMT-0800 (北美太平洋标准时间), Software Development Manager,"Phoenix, AZ",Current Employee ,An Amazing Place to Work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,5.0,5.0
Tue Dec 17 2013 12:31:58 GMT-0800 (北美太平洋标准时间), Software Development Manager,"Seattle, WA",Current Employee ,"Can be amazing for some people, horrible for others",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,3.0,5.0,5.0,4.0
Thu Mar 23 2017 08:51:55 GMT-0700 (北美太平洋夏令时间),,"Seattle, WA",Former Employee ,We are now in a world where we are condescended to by our inferiors,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,2.0,1.0,5.0,1.0
Sat Nov 02 2019 15:44:09 GMT-0700 (北美太平洋夏令时间), FC WAREHOUSE ASSOCIATE,"Everett, WA",Current Employee ,Good place to work but no benefits,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,2.0,3.0
Sat Oct 26 2019 19:46:58 GMT-0700 (北美太平洋夏令时间),,,Former Employee ,Seasonal warehouse associate,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Sat Nov 02 2019 21:29:13 GMT-0700 (北美太平洋夏令时间), Area Manager,"New Haven, CT",Current Employee ,Amazon Area Manager,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,1.0,4.0,5.0,3.0,5.0
Tue Oct 29 2019 19:38:51 GMT-0700 (北美太平洋夏令时间), Technical Recruiter,"Seattle, WA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,4.0,4.0
Fri Nov 01 2019 16:33:37 GMT-0700 (北美太平洋夏令时间), Amazon Cloud Support Engineer,"Herndon, VA",Current Employee ,Great learning and challenging experiences on the job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Sat Nov 02 2019 04:26:30 GMT-0700 (北美太平洋夏令时间), Sales Associate,,Current Employee ,Great,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,4.0,5.0,5.0,5.0
Fri Nov 01 2019 12:25:37 GMT-0700 (北美太平洋夏令时间), Fulfillment Associate,"Phoenix, AZ",Former Employee ,"Good Company, Easy Work",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,4.0,3.0,3.0,5.0
Fri Nov 01 2019 12:58:20 GMT-0700 (北美太平洋夏令时间), Amazon Warehouse Worker,,Current Employee ,Easy Job,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Fri Nov 01 2019 14:30:07 GMT-0700 (北美太平洋夏令时间), Senior Software Engineer,"Seattle, WA",Current Employee ,Fast paced great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,3.0,5.0,4.0,3.0
Fri Nov 01 2019 16:13:31 GMT-0700 (北美太平洋夏令时间), Fullfilment Associate,,Current Employee ,Fantastic Benefits,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,4.0,4.0,5.0,3.0
Sat Nov 02 2019 10:29:21 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Seattle, WA",Current Employee ,"Challenging,",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,3.0,3.0,3.0,2.0
Tue Oct 22 2019 09:37:16 GMT-0700 (北美太平洋夏令时间), Senior Product Manager,"Seattle, WA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,5.0,4.0
Fri Nov 01 2019 07:02:06 GMT-0700 (北美太平洋夏令时间),,, ,Sales associate,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Oct 31 2019 15:32:48 GMT-0700 (北美太平洋夏令时间), Campus Associate,,Current Employee ,Pretty good experience,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,4.0,3.0,2.0,4.0
Thu Oct 31 2019 18:06:48 GMT-0700 (北美太平洋夏令时间), Director of Web Development,"Herndon, VA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,3.0,3.0
Thu Oct 31 2019 21:29:38 GMT-0700 (北美太平洋夏令时间)," Team Lead, Amazon Vendor Services",,Former Employee ,Good place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Wed Oct 30 2019 16:51:12 GMT-0700 (北美太平洋夏令时间), Virtual Customer Service Representative,"Atlanta, GA",Current Employee ,Work From Home,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 30 2019 18:51:03 GMT-0700 (北美太平洋夏令时间), Head Product Management,"Seattle, WA",Current Employee ,E-Retail platform and technology provider,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,3.0,4.0,3.0,3.0
Thu Oct 31 2019 01:53:32 GMT-0700 (北美太平洋夏令时间), Account Representative,"Boston, MA",Current Employee ,Account Representative,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 13:04:02 GMT-0700 (北美太平洋夏令时间), Sortation Associate,,Former Employee ,Crazy,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Wed Oct 30 2019 14:19:37 GMT-0700 (北美太平洋夏令时间), Quality Assurance Engineer Intern,"Seattle, WA",Former Employee ,Interning at Amazon as Quality Assurance Engineer Intern,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,3.0,4.0,4.0,3.0
Wed Oct 30 2019 14:39:02 GMT-0700 (北美太平洋夏令时间), Process Guide,"Riverside, CA",Current Employee ,Fast paced learning for those that want to learn,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,3.0,4.0,4.0,4.0
Wed Oct 30 2019 14:47:21 GMT-0700 (北美太平洋夏令时间),,"Staten Island, NY",Former Employee ,get paid to work out,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,3.0,3.0,4.0,3.0
Wed Oct 30 2019 15:56:50 GMT-0700 (北美太平洋夏令时间), Warehouse Associate,"Carmichael, CA",Current Employee ,Amazing,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Wed Oct 30 2019 21:42:55 GMT-0700 (北美太平洋夏令时间), Inbound Receive,,Current Employee ,"Love the coworkers, don't love the management decisions",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,4.0,4.0,4.0,2.0
Thu Oct 31 2019 02:18:53 GMT-0700 (北美太平洋夏令时间), Process Guide,"Eastvale, PA",Current Employee ,Good management learning skills,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,4.0,4.0,4.0
Thu Oct 31 2019 10:58:51 GMT-0700 (北美太平洋夏令时间), Amazon Warehouse Worker,,Current Employee ,Amazon Warehouse Stocker,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Tue Oct 29 2019 15:19:38 GMT-0700 (北美太平洋夏令时间),,"Seattle, WA",Current Employee ,SDE I,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,4.0,5.0
Tue Oct 29 2019 19:29:35 GMT-0700 (北美太平洋夏令时间), SDEII,,Former Employee ,Good,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 30 2019 07:54:59 GMT-0700 (北美太平洋夏令时间), SDE1,"North Reading, MA",Current Employee ,Amazing work culture,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Tue Oct 29 2019 15:56:01 GMT-0700 (北美太平洋夏令时间),,"Orlando, FL",Current Employee ,CS associate Logistics,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 20:54:39 GMT-0700 (北美太平洋夏令时间), User Experience Designer,,Current Employee ,Good but could be better,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,4.0,4.0
Tue Oct 29 2019 23:22:18 GMT-0700 (北美太平洋夏令时间), SDEII,"New York, NY",Current Employee ,decent salary,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,5.0,5.0,5.0,5.0
