date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Aug 26 2019 14:16:31 GMT-0700 (北美太平洋夏令时间), Technical Expert,,Former Employee ,Good place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Thu Aug 28 2014 21:07:35 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,"Challenging, Rewarding, but ZERO work/life balance. Most satisfying , most difficult and most rewarding job ever.",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,1.0,3.0,3.0,3.0,3.0
Fri Nov 01 2019 11:03:36 GMT-0700 (北美太平洋夏令时间), Operations Specialist,"Rockville, MD",Former Employee ,Awesome place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Fri Nov 01 2019 13:02:05 GMT-0700 (北美太平洋夏令时间), Genius,,Former Employee ,"Great company, benefits and experience",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,4.0,4.0,5.0
Fri Nov 01 2019 13:05:49 GMT-0700 (北美太平洋夏令时间), Specialist,"San Mateo, CA",Current Employee ,Worked seasonally as a part-time specialist,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,4.0,5.0,4.0,
Fri Nov 01 2019 10:57:45 GMT-0700 (北美太平洋夏令时间), Customer Service Specialist,,Former Employee ,Loved the team.,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,4.0,3.0,5.0,4.0
Fri Nov 01 2019 14:06:10 GMT-0700 (北美太平洋夏令时间), Apple Genius,,Current Employee ,a good job to have,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,4.0,4.0,4.0,4.0
Thu Oct 31 2019 14:57:15 GMT-0700 (北美太平洋夏令时间), Customer Technical Support,"Killeen, TX",Former Employee ,Great benefits,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,2.0,4.0,2.0,2.0
Thu Oct 31 2019 17:32:54 GMT-0700 (北美太平洋夏令时间), Technical Specialist,"Freehold, NJ",Current Employee ,Good,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,5.0,4.0,5.0,3.0
Wed Oct 30 2019 17:48:34 GMT-0700 (北美太平洋夏令时间), Genius Administrator,,Former Employee ,Great Place to Work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,3.0,3.0,3.0,1.0
