date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Oct 31 2019 16:49:11 GMT-0700 (北美太平洋夏令时间), Software Engineer V,"Menlo Park, CA",Current Employee ,Great company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,2.0,5.0,5.0,4.0,5.0
Thu Feb 16 2017 19:37:03 GMT-0800 (北美太平洋标准时间),,"Menlo Park, CA",Current Employee ,"Fast paced company with high expectations, but incredibly fair. You won't a place that cares more about it's people.",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Tue Feb 16 2016 17:17:42 GMT-0800 (北美太平洋标准时间),,"Menlo Park, CA","Site Selection Program Manager in Menlo Park, CA",Pleasantly Surprised,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,4.0,5.0,5.0
Wed Oct 23 2019 20:45:24 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Current Employee ,"Fast pace, flat culture, great people",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Sun Aug 18 2019 20:08:23 GMT-0700 (北美太平洋夏令时间), Production Engineer,"Menlo Park, CA",Former Employee ,Know what you are getting yourself into,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",2.0,1.0,5.0,2.0,5.0,3.0
Tue Oct 15 2019 20:57:58 GMT-0700 (北美太平洋夏令时间), Learning and Development,"San Francisco, CA",Current Employee ,Best work of your career,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 07:42:17 GMT-0700 (北美太平洋夏令时间),,"Las Cruces, NM",Current Employee ,Hardest interview process I've ever been through - totally worth it,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,4.0,4.0,5.0,4.0
Fri Oct 25 2019 06:59:14 GMT-0700 (北美太平洋夏令时间),,"Altoona, IA",Current Employee ,Great Place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 22 2019 15:46:56 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Seattle, WA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,4.0
Wed Oct 16 2019 13:15:26 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Current Employee ,IC4,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 12:38:16 GMT-0700 (北美太平洋夏令时间), Content Strategist,"Menlo Park, CA",Current Employee ,"Changing goals, constant thrash, good benefits",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,3.0,1.0,5.0,1.0
Mon Oct 14 2019 14:42:48 GMT-0700 (北美太平洋夏令时间), Sales Representative,"San Francisco, CA",Current Employee ,best place,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 08 2019 19:54:14 GMT-0700 (北美太平洋夏令时间), Technical Recruiter,"Menlo Park, CA",Current Employee ,Loving it!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 07 2019 13:22:20 GMT-0700 (北美太平洋夏令时间), Datacenter Capacity Engineer,"Altoona, IA",Current Employee ,Doesn't get any better than working at Facebook,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 09 2019 17:05:24 GMT-0700 (北美太平洋夏令时间), Digital Marketing Specialist,"Denver, CO",Former Employee ,Awesome,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,5.0,4.0,5.0
Wed Oct 09 2019 19:05:06 GMT-0700 (北美太平洋夏令时间), User Experience Researcher,"Menlo Park, CA",Current Employee ,ux researcher univ. grad,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,3.0,5.0,4.0
Tue Oct 08 2019 17:06:22 GMT-0700 (北美太平洋夏令时间), Safety Specialist,"Sunnyvale, CA",Current Employee ,Fast Paced,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,4.0,4.0,5.0,3.0
Wed Jul 17 2019 15:47:01 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Current Employee ,Amazing Employer,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Fri Oct 04 2019 13:51:00 GMT-0700 (北美太平洋夏令时间), Content Strategist,"Menlo Park, CA",Former Employee ,With great power comes great responsibility,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Sat Oct 05 2019 09:11:00 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Current Employee ,Good for fresh grads who can sell their soul..,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",2.0,1.0,1.0,2.0,4.0,3.0
Fri Oct 18 2019 00:25:19 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Current Employee ,Overall,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,,,,,
Wed Sep 25 2019 15:47:43 GMT-0700 (北美太平洋夏令时间), Rotational Software Engineer,"Menlo Park, CA",Current Employee ,They pay rotational(E3) SWE just like regular SWE(E4),Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,5.0,5.0,4.0
Fri Oct 11 2019 16:34:25 GMT-0700 (北美太平洋夏令时间), Administrative Specialist,"Austin, TX",Current Employee ,Best part of working here is the people,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,5.0,5.0,5.0,5.0,5.0
Tue Sep 24 2019 13:52:15 GMT-0700 (北美太平洋夏令时间), Client Partner,"Warsaw, IN",Current Employee ,Simply one of the best jobs you can imagine,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,4.0,5.0,5.0
Wed Sep 25 2019 11:34:04 GMT-0700 (北美太平洋夏令时间), Front End Engineer,"Menlo Park, CA",Current Employee ,Amazing place to work for the right set of people,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,2.0,5.0,5.0,5.0,5.0
Tue Sep 24 2019 09:28:50 GMT-0700 (北美太平洋夏令时间), Critical Facilities Manager,"Altoona, IA",Current Employee ,Best Job Ever,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Mon Sep 23 2019 07:02:24 GMT-0700 (北美太平洋夏令时间), Enterprise Support Tech,"Menlo Park, CA",Current Employee ,Amazing Culture and Growth Potential,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,5.0,5.0,5.0
Fri Sep 20 2019 22:06:47 GMT-0700 (北美太平洋夏令时间), Research Scientist,"Seattle, WA",Current Employee ,Overall it is a great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,5.0,5.0
Mon Sep 30 2019 11:39:11 GMT-0700 (北美太平洋夏令时间), Critical Facility Engineer,"Bend, OR",Current Employee ,Facebook from a FTE at 4 month's Perspective,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,4.0,5.0,4.0
Tue Sep 17 2019 17:20:06 GMT-0700 (北美太平洋夏令时间), Visiting Scientist,"Menlo Park, CA",Current Employee ,Facebook Engineering and Research (AI),Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,,
Wed Oct 02 2019 08:52:19 GMT-0700 (北美太平洋夏令时间), Account Manager,"Menlo Park, CA",Former Employee ,"Exciting company to work for, great benefits",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,4.0,4.0,4.0,4.0
Mon Sep 16 2019 20:21:57 GMT-0700 (北美太平洋夏令时间), Research Intern,"Redmond, WA",Current Employee ,Maybe the best company over the world,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Sep 12 2019 13:48:01 GMT-0700 (北美太平洋夏令时间), Senior Software Engineer,"Menlo Park, CA",Current Employee ,Great company to work at - do not believe to different news,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,4.0,
Mon Sep 23 2019 11:42:33 GMT-0700 (北美太平洋夏令时间), Contracts Associate,"Austin, TX",Current Employee ,Excellent benefits and campus amenities cult like culture,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,4.0,1.0,4.0,5.0,4.0
Fri Sep 13 2019 17:26:12 GMT-0700 (北美太平洋夏令时间), Research Scientist,"New York, NY",Current Employee ,Best company in the workd,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Fri Sep 27 2019 11:46:15 GMT-0700 (北美太平洋夏令时间), Researcher,"Menlo Park, CA",Current Employee ,Genuine mission to connect the world,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,4.0,4.0,,
Wed Sep 25 2019 12:53:49 GMT-0700 (北美太平洋夏令时间), Software Engineer(Internship),"San Francisco, CA",Former Employee ,Amazing internship opportunity for college students,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,5.0,5.0,5.0,3.0
Fri Sep 06 2019 22:44:46 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Former Employee ,Great place to work!,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,4.0,5.0,5.0,4.0
Thu Sep 19 2019 19:42:04 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Menlo Park, CA",Current Employee ,Great depending on what team you are on,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,2.0,3.0,4.0,5.0,3.0
Thu Aug 01 2019 13:15:09 GMT-0700 (北美太平洋夏令时间), Engineering Manager,"New York, NY",Former Employee ,"Best Perks, worst WLB",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,1.0,3.0,4.0,5.0,2.0
Wed Aug 28 2019 13:45:19 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Seattle, WA",Former Employee ,Excellent place to grow and learn,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Sep 11 2019 12:56:40 GMT-0700 (北美太平洋夏令时间), Machine Learning Engineer,"Seattle, WA",Former Employee ,Good Company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,3.0,4.0,5.0,5.0,4.0
Wed Sep 04 2019 06:21:18 GMT-0700 (北美太平洋夏令时间), Production Engineer,"Menlo Park, CA",Former Employee ,Good experience physically bad mentally,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",3.0,2.0,3.0,5.0,5.0,2.0
