date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sat Nov 02 2019 23:19:55 GMT-0700 (北美太平洋夏令时间)," Director, Product Management","Sunnyvale, CA",Former Employee ,Excellent place to grow product skills and influence at scale,,,5.0,5.0,5.0,4.0,4.0,5.0
Fri Jun 21 2013 12:42:33 GMT-0700 (北美太平洋夏令时间), Program Manager,"Mountain View, CA",Former Employee ,"Moving at the speed of light, burn out is inevitable",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,2.0,3.0,3.0,5.0,3.0
Sat May 10 2014 14:46:38 GMT-0700 (北美太平洋夏令时间), Software Engineer III,"New York, NY",Current Employee ,"Great balance between big-company security and fun, fast-moving projects",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,4.0,5.0,5.0,4.0
Sun Feb 08 2015 00:41:18 GMT-0800 (北美太平洋标准时间),,"Mountain View, CA"," in Mountain View, CA",The best place I've worked and also the most demanding.,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,2.0,5.0,5.0,4.0,5.0
Thu Oct 31 2019 05:48:24 GMT-0700 (北美太平洋夏令时间), Cloud Architect,"Cambridge, MA",Current Employee ,Amazing,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 14:08:33 GMT-0700 (北美太平洋夏令时间),,,Former Employee ,Product Marketing Manager,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Fri Nov 01 2019 22:32:30 GMT-0700 (北美太平洋夏令时间), Senior Software Engineer,"San Francisco, CA",Current Employee ,The company that always brings new excitements,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,4.0,5.0,4.0,4.0
Thu Oct 31 2019 11:46:24 GMT-0700 (北美太平洋夏令时间), Analyst,,Former Employee ,Good,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Fri Nov 01 2019 03:10:52 GMT-0700 (北美太平洋夏令时间), Software Engineer,"Mountain View, CA",Former Employee ,nice,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Tue Oct 29 2019 21:26:39 GMT-0700 (北美太平洋夏令时间), Software Engineer Summer,"Sunnyvale, CA",Former Employee ,very nice,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
