date,employee_title,location,employee_status,review_title,pros,cons,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Sat Nov 02 2019 18:56:58 GMT-0700 (北美太平洋夏令时间), Product Advisor,"Durham, NC",Former Employee ,Fun job with lots of upward mobility,,,5.0,3.0,5.0,5.0,5.0,4.0
Mon Jan 28 2013 18:20:34 GMT-0800 (北美太平洋标准时间),,"Redmond, WA",Current Employee ,Thoughts after 10 years....,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",4.0,4.0,2.0,2.0,4.0,
Sat Nov 02 2019 16:10:58 GMT-0700 (北美太平洋夏令时间), Sales,"Houston, TX",Former Employee ,Amazing and fast paced,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,5.0,5.0,5.0
Sat Nov 02 2019 11:12:29 GMT-0700 (北美太平洋夏令时间), SDE1,"Seattle, WA",Former Employee ,"big company, great place",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,4.0,4.0,4.0,4.0
Thu Oct 31 2019 13:25:26 GMT-0700 (北美太平洋夏令时间), Hardware Engineer,"Atlanta, GA",Current Employee ,technology company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 17:12:43 GMT-0700 (北美太平洋夏令时间), Senior Product Manager,"Redmond, WA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 30 2019 17:49:35 GMT-0700 (北美太平洋夏令时间), Business Program Manager,"Redmond, WA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,4.0,3.0,4.0,4.0
Tue Oct 29 2019 15:16:41 GMT-0700 (北美太平洋夏令时间),,"Redmond, WA",Current Employee ,Microsoft Software Engineer,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,3.0,3.0,4.0,3.0
Mon Oct 28 2019 22:22:49 GMT-0700 (北美太平洋夏令时间),,,Current Employee ,something,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Tue Oct 22 2019 08:36:32 GMT-0700 (北美太平洋夏令时间), Business Analyst,"Redmond, WV",Former Employee ,"Great place to work, though culture differs by org",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Thu Oct 24 2019 13:33:41 GMT-0700 (北美太平洋夏令时间), Tech Support Representative,"Salt Lake City, UT",Current Employee ,Great company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Mon Oct 21 2019 10:00:51 GMT-0700 (北美太平洋夏令时间), Senior Designer,,Current Employee ,good place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Wed Oct 23 2019 15:57:16 GMT-0700 (北美太平洋夏令时间), Technical Program Manager,"Redmond, WA",Current Employee ,None I can think of,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,3.0,4.0,3.0
Mon Oct 21 2019 20:25:32 GMT-0700 (北美太平洋夏令时间), Engineering Manager,"Seattle, WA",Current Employee ,Good work life balance,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,3.0,5.0
Fri Oct 18 2019 11:36:55 GMT-0700 (北美太平洋夏令时间), Senior Software Engineer,,Current Employee ,People First Company - Both with Customers & Employees,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,3.0,4.0
Sun Oct 20 2019 18:13:09 GMT-0700 (北美太平洋夏令时间), Senior Engineer,"Redmond, WA",Current Employee ,Great place to work,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,4.0,4.0,3.0,5.0,5.0
Mon Oct 21 2019 01:17:09 GMT-0700 (北美太平洋夏令时间), Software Engineer,,Current Employee ,great company to work at,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,,,,,
Sun Oct 13 2019 13:17:04 GMT-0700 (北美太平洋夏令时间), Principal Service Engineering Manager,"Redmond, WA",Current Employee ,Best Company,Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,5.0,5.0,5.0,5.0,5.0
Wed Oct 16 2019 10:27:26 GMT-0700 (北美太平洋夏令时间), Senior Software Engineer,"Redmond, WA",Current Employee ,"Learn a Lot, Great People",Nam quis nulla. Integer malesuada. In in enim a arcu imperdiet.,"Etiam sapien elit, consequat eget, tristique non, venenatis quis, ante.",5.0,3.0,5.0,5.0,5.0,4.0
